id,dragonid,description,name,image,background,wings,body,bodyscales,tail,ears,eyes,mouth,horns,headpiece,territory,class,attacktype,isMinted,,
1423,1423,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1423,https://gateway.pinata.cloud/ipfs/QmPkX629JGCV9aSvrE4ntG1194FcmPG189AYgcGb2ke9Gc,Deep Sky Blue Background,Taffy Turquoise Wings,Flamy Dragon,Smokey Distorted Scales,Pistachio Tail,Apricloth Ears,Astonish Eyes,Suffering Mouth,Mountain Ram Horns,Cyclone Headpiece,Tundra Mountain,Ice Dragon,Ice Shuriken Breath,f,2021-10-17 18:18:47.964+05,2021-10-17 18:18:47.964+05
1424,1424,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1424,https://gateway.pinata.cloud/ipfs/Qme431Q9L6xHv8xnK3gx7V2Kj6SJSJeCMnRWARBF4W5xG6,Lavender Background,Onyx Wings,Moon Stone Dragon,Armadillo Armor Scales,White Diez Tail,Squidward Ears,Winking Eyes,Cat Mouth,G Horns,Layered Opal Headpiece,Tundra Mountain,Ice Dragon,Ice Shards Breath,f,2021-10-17 18:18:47.965+05,2021-10-17 18:18:47.965+05
1425,1425,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1425,https://gateway.pinata.cloud/ipfs/QmZFPtgsTxJZd21gKvr19wBFmDPSCBrdijVxfYkwGuBtZa,Amethyst Background,Fairy Rose Wings,Morion Lava Dragon,Crooked Scales,Viper Tail,Spatula Ears,Enraged Eyes,Geeky Mouth,Shadow Embrace Horns,Richie Rich Headpiece,Ashy Range,Lava Dragon,Volcanic Lava,f,2021-10-17 18:18:47.965+05,2021-10-17 18:18:47.965+05
1426,1426,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1426,https://gateway.pinata.cloud/ipfs/QmUK35L6BpCpHcYLWQkk2mgNKZQcPJpusD1449C6M3oFCo,Tiffany Spring Background,Cyber Blade Wings,Electro Yale Dragon,Checker Scales,Bolt Spear Tail,Minimalist Tanto Ears,Petrified Eyes,Suffering Mouth,Fire Horns,Black Obsidian Headpiece,CITRCA,Aquatic Dragon,Cyclone Breath,f,2021-10-17 18:18:47.966+05,2021-10-17 18:18:47.966+05
1427,1427,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1427,https://gateway.pinata.cloud/ipfs/QmcLG3wUYdN7ePuHvvN9Gj8gMzgdPwY1AZhZkCWEfSMekv,Glaucous Background,Golden Stroke Wings,Moon Stone Dragon,Smokey Distorted Scales,White Diez Tail,White Hook Ears,Confused Eyes,Sad Vampire Mouth,Devil Horns,Apostrophe Headpiece,Tundra Mountain,Ice Dragon,Ice Shards Breath,f,2021-10-17 18:18:47.967+05,2021-10-17 18:18:47.967+05
1428,1428,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1428,https://gateway.pinata.cloud/ipfs/QmVjAqDdmqr6CLtuUXd5JFudAv7VbiaubdpHbaTRxA2hgg,Majorelle Blue Background,Chestnut Wings,Snow Leopard Dragon,Twirling Scales,Boomerang Tail,Whipped Cream Ears,Prideful Eyes,Smiling Bunny Mouth,Pudu Horns,Amethyst Headpiece,Tundra Mountain,Ice Dragon,Ice Shuriken Breath,f,2021-10-17 18:18:47.979+05,2021-10-17 18:18:47.979+05
1429,1429,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1429,https://gateway.pinata.cloud/ipfs/Qme1UoqUYHQxGqrcGgCVDMWbcewsSVPVRMD3itbUuEAAWA,Exposed Shadow Background,Crimson Bat Wings,Scaly Taipan Dragon,Zig Zag Scales,Golden Snake Tail,Twirling Chameleon Ears,Sharp Eyes,Spicy Mouth,Ram Horns,Sparky Headpiece,Ranth Desert,Poisnous Dragon,Poison Bite,f,2021-10-17 18:18:47.987+05,2021-10-17 18:18:47.987+05
1430,1430,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1430,https://gateway.pinata.cloud/ipfs/QmYZrmDQVAxnvmhAmMVJtEkkMFM1UG1h9mPxjSxvxDZRFA,Steel Blue Background,Armada Twine Wings,Corny Blue Dragon,Grilled Scales,Speckled Boomerang Tail,Flying Squirrel Ears,Interested Eyes,Phlegmatic Mouth,Minotaur Horns,Blood Ruby Headpiece,SHIRE,Magical,Exploding Poopcorn,f,2021-10-17 18:18:47.994+05,2021-10-17 18:18:47.994+05
1431,1431,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1431,https://gateway.pinata.cloud/ipfs/QmaqMNGjZraj6TWKApg9nzZzRTR6ZpgX9ABJHh7G7e1GFH,Green Spring Background,Golden Stroke Wings,Corny Blue Dragon,Noodle Scales,Spike Plate Tail,Cerulean Ears,Enraged Eyes,Melancholic Mouth,Red Devil Horns,Crescent Spring Headpiece,SHIRE,Magical,Exploding Poopcorn,f,2021-10-17 18:18:47.996+05,2021-10-17 18:18:47.996+05
1432,1432,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1432,https://gateway.pinata.cloud/ipfs/QmREM3Gk7uf3F9rhPqFpEGJ4134jUGhKpPWU1iJ9F1bkpe,Pink Punch Background,Magnum Gold Wings,Windstorm Dragon,Crooked Scales,Devil Spetum Tail,Deer Ears,Arrogant Eyes,Dracula Mouth,Snail Shell Horns,Emerald Crown Headpiece,Argon Mountain,Wind Breath,Windy Dragon,f,2021-10-17 18:18:47.997+05,2021-10-17 18:18:47.997+05
1433,1433,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1433,https://gateway.pinata.cloud/ipfs/QmagAGhfEBkWgYsDQLsfw2jjLPaa81wWKxnYm6RFABECeY,Dodger Blue Background,Indigo Canary Wings,Tiger Stripped Dragon,Thunderclap Scales,Striped Spear Tail,Flexing Ears,Weary Eyes,Yelling Mouth,Kudu Horns,Black Obsidian Headpiece,Enchanted Forest,Sound,Sonic Roar,f,2021-10-17 18:18:47.999+05,2021-10-17 18:18:47.999+05
1434,1434,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1434,https://gateway.pinata.cloud/ipfs/QmWQjE4cuUhwhGMTv6aciMjikv1rVtPpwKmWQjgZ7AJgnW,Goldenrod Background,Azure Wings,Bloodhound Dragon,Groovy Scales,Crimson Rattle Tail,Rooster Comb Ears,Piqued Eyes,Puerile Mouth,Demon Horns,Golden Moon Headpiece,Argon Mountain,Firey Dragon,Red Fire,f,2021-10-17 18:18:48+05,2021-10-17 18:18:48+05
1435,1435,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1435,https://gateway.pinata.cloud/ipfs/QmWxdJSwwEaTVgptipFtQnnJ9FaqgYwoLPrWfz2LmGJM6k,Mademoiselle Background,Evergreen Wings,Flamy Dragon,Zebra Scales,Golden Bolt Tail,Witch Broom Ears,Spooked Eyes,Nervous Mouth,Maleficent Spectrum Horns,Purple S Headpiece,Tundra Mountain,Ice Dragon,Ice Shuriken Breath,f,2021-10-17 18:18:48.001+05,2021-10-17 18:18:48.001+05
1436,1436,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1436,https://gateway.pinata.cloud/ipfs/QmbUUEnu7iBX6tdHg8H4WjMBei8y3n88d2ggWaZhvU7ZBa,Candy Tangerine Background,Dijon Wings,Gecko Dragon,Crooked Scales,Spear Fish Trail,Pointy Bat Ears,Domineering Eyes,Devil Smiling Mouth,Thin Sheep Horns,Apostrophe Headpiece,Enchanted Forest,Venemous,Poison Cloud,f,2021-10-17 18:18:48.002+05,2021-10-17 18:18:48.002+05
1437,1437,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1437,https://gateway.pinata.cloud/ipfs/QmUVL5MF42xHzApAtvm7T5irdyWXYmFf3Ya3LaNJXWLCXW,Palantinate Blue Background,Heavenly Light Wings,Gecko Dragon,Pangolin Scales,Spear Fish Trail,Brown Sheep Ears,Bored Eyes,Gratified Mouth,Anchor Horns,Wreath Headpiece,Enchanted Forest,Venemous,Poison Cloud,f,2021-10-17 18:18:48.003+05,2021-10-17 18:18:48.003+05
1438,1438,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1438,https://gateway.pinata.cloud/ipfs/QmNt8eVLdv9zTkaMmQBreZyPGGurBLdbjTCuddoKvLksiF,Electric Cyclone Background,Cyber Blade Wings,Flamy Dragon,Argyle Scales,Sea Saw Tail,Witch Broom Ears,Scared Eyes,Drool Mouth,Springbok Horns,Star Sapphire Headpiece,Tundra Mountain,Ice Dragon,Ice Shuriken Breath,f,2021-10-17 18:18:48.004+05,2021-10-17 18:18:48.004+05
1439,1439,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1439,https://gateway.pinata.cloud/ipfs/QmbPv1XEfuhULVQVLQ71xJ5k8gj4XRenHCp6xavpA4u7Zo,Magenta Background,Pink Crescent Wings,Lilac Blue Dragon,Kilt Scales,Crooked Tail,Valkyrie Ears,Inquisitive Eyes,Repentant Mouth,Juvenile Minotaur Horns,Scythe Hair Headpiece,Tundra Mountain,Ice Dragon,Blue Fire Breath,f,2021-10-17 18:18:48.006+05,2021-10-17 18:18:48.006+05
1440,1440,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1440,https://gateway.pinata.cloud/ipfs/QmUPLYnKwM9h5TtVBRgtWDNEEkoWiWCki4UE7qHJqRGhhq,Corn Nebula Background,Crimson Bat Wings,Corny Blue Dragon,Thunderclap Scales,Trident Tail,Cerulean Ears,Starry Night Eyes,Melancholic Mouth,Juvenile Minotaur Horns,Whirlpool Headpiece,SHIRE,Magical,Exploding Poopcorn,f,2021-10-17 18:18:48.01+05,2021-10-17 18:18:48.01+05
1441,1441,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1441,https://gateway.pinata.cloud/ipfs/QmeraAUPvjorqA15v5yWGNj9kZEAsg47ZYWBTMrUMgUgFQ,Aurora Dark Pink Background,Gargoyle Wings,Morion Lava Dragon,Noodle Scales,Thin Barbed Tail,Spatula Ears,Interested Eyes,Devil Smiling Mouth,Shadow Embrace Horns,Black Phantom Hair Headpiece,Ashy Range,Lava Dragon,Volcanic Lava,f,2021-10-17 18:18:48.018+05,2021-10-17 18:18:48.018+05
1442,1442,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1442,https://gateway.pinata.cloud/ipfs/Qmdt65fTQ9RMHKr9gpHuWmxxz2QgwFtiit3DeV6egyPiVd,Pearl Blush Background,Nightmare Wings,Electro Yale Dragon,Bubble Wrap Scales,Bolt Spear Tail,Minimalist Tanto Ears,Glaring Eyes,Ecstatic Mouth,Beast Horns,Scythe Hair Headpiece,CITRCA,Aquatic Dragon,Cyclone Breath,f,2021-10-17 18:18:48.029+05,2021-10-17 18:18:48.029+05
1443,1443,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1443,https://gateway.pinata.cloud/ipfs/QmX9QvJtUfXCDAKCVqXt7DrQnMJAYyRATeus3uCznUe4S7,Messenger Circuit Background,Mecha Falcon Wings,Atomic Samurai Dragon,Raven Mystique Scales,Grizzly Claw Tail,Sphinx Ears,Gear Eyes,Dumbfound Robot Mouth,Techno Devil Horns,Teal Sprout Headpiece,Argon Mountain,Mechanical,Laser Beem,f,2021-10-17 18:18:48.03+05,2021-10-17 18:18:48.03+05
1444,1444,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1444,https://gateway.pinata.cloud/ipfs/QmXiouZJMPP6wJME9NWbA9X3rBaaxF8Z8iyiTpbnC9Y9HN,Sienna Gold Background,Heavenly Light Wings,Smokey Sriracha Dragon,Leis Scales,Lance Tail,Mahogany Monster Ears,Piqued Eyes,Aggresive Mouth,Anchor Horns,Fin Headpiece,Ranth Desert,Firey Dragon,Spicy Fire,f,2021-10-17 18:18:48.032+05,2021-10-17 18:18:48.032+05
1445,1445,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1445,https://gateway.pinata.cloud/ipfs/QmWfDUMYfx25S3ki4YmyMpqP2AzpUAuyj1cqKX7Hq7A51D,Pineapple Lime Background,Nightmare Wings,Aqua Spiral Dragon,Chevron Scales,Violet Oar Tail,Azure Flappy Ears,Stressed Eyes,Satiety Mouth,Ballistic Horns,Emerald Crown Headpiece,CITRCA,Aquatic Dragon,Water Gun,f,2021-10-17 18:18:48.035+05,2021-10-17 18:18:48.035+05
1446,1446,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1446,https://gateway.pinata.cloud/ipfs/QmZsNvoE6HgszbbWGNtsyoZGjekfNdjSg5awWrXUuHMwrd,Pearl Blush Background,Silver Vulture Wings,Aqua Spiral Dragon,Alligator Scales,Crumpled Arrow Tail,Calf Ears,Pretty Eyes,Talkative Mouth,G Horns,Star Sapphire Headpiece,CITRCA,Aquatic Dragon,Water Gun,f,2021-10-17 18:18:48.037+05,2021-10-17 18:18:48.037+05
1447,1447,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1447,https://gateway.pinata.cloud/ipfs/QmbTaPT8EtbxSPcBE63AnLqgq3m3LRjz8kq9f2GEVDPtTb,Caribbean Background,Bloodlust Wings,Flamy Dragon,Nord Shield Scales,Yellow Spotted Tail,Apricloth Ears,Piqued Eyes,Puerile Mouth,Snail Shell Horns,Turban Headpiece,Tundra Mountain,Ice Dragon,Ice Shuriken Breath,f,2021-10-17 18:18:48.039+05,2021-10-17 18:18:48.039+05
1448,1448,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1448,https://gateway.pinata.cloud/ipfs/QmVNMwSz9CyU6AVB3xfshaSF74FFrpaT85VnrFdGu9CWcD,Violet Whirlpool Background,Onyx Wings,Moon Stone Dragon,Thunderclap Scales,White Oar Tail,Mermaid Ears,Focused Eyes,Spicy Mouth,Battle X Horns,Golden Mohawk Headpiece,Tundra Mountain,Ice Dragon,Ice Shards Breath,f,2021-10-17 18:18:48.041+05,2021-10-17 18:18:48.041+05
1449,1449,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1449,https://gateway.pinata.cloud/ipfs/QmW3XLK7HgQPjjNENuLAkpN34TRVB62PbkvZrHkL2mvPxg,Green Spring Background,Chestnut Wings,Dark Shadow Dragon,Fishy Scales,Orni Tail,Witch Nose Ears,Glamorous Eyes,Jolly Mouth,Candy Horns,Black Obsidian Headpiece,Ashy Range,Lava Dragon,Molten Lava,f,2021-10-17 18:18:48.043+05,2021-10-17 18:18:48.043+05
1450,1450,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1450,https://gateway.pinata.cloud/ipfs/QmTfnepkx2bUf5WN4GxiBKNQZGKJg95hybw6Vb3oYMX7MY,Dark Violet Background,Golden Mocha Wings,Windstorm Dragon,Wicker Scales,Charmeleon Tail,Devil Ears,Envy Eyes,Talkative Mouth,Pudu Horns,Star Sapphire Headpiece,Argon Mountain,Wind Breath,Windy Dragon,f,2021-10-17 18:18:48.047+05,2021-10-17 18:18:48.047+05
1451,1451,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1451,https://gateway.pinata.cloud/ipfs/QmaK4ETkCeoU5KbbtENWXumj4SeuLJncmVVMeq7hvjVbmU,Yellow Green Background,Azure Wings,Dark Shadow Dragon,Groovy Scales,Diamond Tail,Witch Nose Ears,Starry Night Eyes,Spicy Mouth,Antelope Horns,Black Phantom Hair Headpiece,Ashy Range,Lava Dragon,Molten Lava,f,2021-10-17 18:18:48.051+05,2021-10-17 18:18:48.051+05
1452,1452,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1452,https://gateway.pinata.cloud/ipfs/QmdK79k7ADzwGVxiXdkVt8E2ZvWKkDeLGj5cMCUwrCgxbc,Carolina Flamingo Background,Vampire Wings,Tiger Stripped Dragon,Crooked Scales,Tiger Tail,War Horn Ears,Troubled Eyes,Angry Fang Mouth,Minotaur Horns,Golden Mohawk Headpiece,Enchanted Forest,Sound,Sonic Roar,f,2021-10-17 18:18:48.06+05,2021-10-17 18:18:48.06+05
1453,1453,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1453,https://gateway.pinata.cloud/ipfs/QmWXdQYKZjfDFQ8nV1EqeEveKmghLH7S1A349Q58ak6NqE,Sun Glint Background,Merciless Alpha Wings,Undead Dragon,Gutted Scacles,Open Fracture Tail,Palm Leaf Ears,Larva Snake Eyes,Courage Dog Mouth,Chiseled Horns,Exposed Brain Headpiece,Shire,Infected,Virus Infection,f,2021-10-17 18:18:48.064+05,2021-10-17 18:18:48.064+05
1454,1454,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1454,https://gateway.pinata.cloud/ipfs/Qmab9Ty9GSQcgQHoBQhmNu7yvdj4LRQL87oUnvQu9Vqi2Y,Green Spring Background,Obsidian Wings,Lightning Jade Dragon,Black Rose Scales,Lucifer_s Tail,Black Gargoyle Ears,Starry Night Eyes,Bulldog Mouth,Thin Sheep Horns,Crescent Spring Headpiece,Argon Mountain,Electric Beam,Thunder Dragon,f,2021-10-17 18:18:48.065+05,2021-10-17 18:18:48.065+05
1455,1455,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1455,https://gateway.pinata.cloud/ipfs/QmNeu9nhTCZV6AP3S5R7uNdHyKRwvs5QMkQ1GFHFNnYAwG,Royal Blue Background,Aquatic Green Wings,Tiger Stripped Dragon,Nord Shield Scales,Striped Spear Tail,Flexing Ears,Envy Eyes,Nonchalant Mouth,Maleficient Horns,Tornado Headpiece,Enchanted Forest,Sound,Sonic Roar,f,2021-10-17 18:18:48.066+05,2021-10-17 18:18:48.066+05
1456,1456,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1456,https://gateway.pinata.cloud/ipfs/QmYwmZxYSbQdF1qft1o3PPw23eCNYAwYdeetAPu4BFSZ43,Golden Orange Background,Pixie Wings,Morion Lava Dragon,Pangolin Scales,Thin Barbed Tail,Bull Horns Ears,Arrogant Eyes,Bulldog Mouth,Pudu Horns,Golden Moon Headpiece,Ashy Range,Lava Dragon,Volcanic Lava,f,2021-10-17 18:18:48.067+05,2021-10-17 18:18:48.067+05
1457,1457,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1457,https://gateway.pinata.cloud/ipfs/QmPeoE8gGa4n4L88x7qau4twkf6qe9BumBhphG2N1vwLnG,Salmon Background,Magnum Gold Wings,Neon Grape Dragon,Swirling Scales,Green Flame Tail,Shamrock Sheep Ears,Winking Eyes,Melancholic Mouth,Maleficient Horns,Blood Ruby Headpiece,SHIRE,Venomous,Venonous Gale,f,2021-10-17 18:18:48.077+05,2021-10-17 18:18:48.077+05
1458,1458,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1458,https://gateway.pinata.cloud/ipfs/QmTbNUwg4x989vwxB6V49kYsn8AqGeFAiJVSuvRQ7P5Get,Sienna Gold Background,Fallen Angel Wings,Neon Grape Dragon,Beehive Scales,Barbed Parakeet Tail,Green Ears,Puckered Eyes,Crooked Sabretooth Mouth,G Horns,Golden Mohawk Headpiece,SHIRE,Venomous,Venonous Gale,f,2021-10-17 18:18:48.078+05,2021-10-17 18:18:48.078+05
1459,1459,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1459,https://gateway.pinata.cloud/ipfs/QmSWMrJ9gajyqMF743VdoUeGBtDtQRFdAuAvfSkjr8dZx6,Lilac Background,Golden Darner Wings,Windstorm Dragon,Furry Scales,Stingray Tail,Devil Ears,Astonish Eyes,Sad Vampire Mouth,Nebula Horns,Vision Headpiece,Argon Mountain,Wind Breath,Windy Dragon,f,2021-10-17 18:18:48.079+05,2021-10-17 18:18:48.079+05
1460,1460,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1460,https://gateway.pinata.cloud/ipfs/QmRbefW42gtjt59ACEMe87KQHCMexTesQj1GGD6bgRRBjY,Air Superiority Blue Background,Flamingo Wings,Smokey Sriracha Dragon,Obsidian Scales,Webbed Tail,Mahogany Monster Ears,Enraged Eyes,Puerile Mouth,Shadow Embrace Horns,Layered Opal Headpiece,Ranth Desert,Firey Dragon,Spicy Fire,f,2021-10-17 18:18:48.08+05,2021-10-17 18:18:48.08+05
